Year,Short Name,Region,FertilityRate,GDPperCapita
1960,Algeria,Middle East & North Africa,7.52,2466
1960,Argentina,Latin America & Caribbean,3.11,5605
1960,Australia,East Asia & Pacific,3.45,19387
1960,Austria,Europe & Central Asia,2.69,13031
1960,Bangladesh,South Asia,6.73,371
1960,Belgium,Europe & Central Asia,2.54,13193
1960,Belize,Latin America & Caribbean,6.5,1072
1960,Benin,Sub-Saharan Africa,6.28,520
1960,Bolivia,Latin America & Caribbean,6.7,995
1960,Botswana,Sub-Saharan Africa,6.62,391
1960,Brazil,Latin America & Caribbean,6.07,3416
1960,Burkina Faso,Sub-Saharan Africa,6.29,239
1960,Burundi,Sub-Saharan Africa,6.95,214
1960,Cameroon,Sub-Saharan Africa,5.65,956
1960,Canada,North America,3.81,17664
1960,Central African Republic,Sub-Saharan Africa,5.84,602
1960,Chad,Sub-Saharan Africa,6.25,696
1960,Chile,Latin America & Caribbean,5.1,3807
1960,China,East Asia & Pacific,5.75,192
1960,Colombia,Latin America & Caribbean,6.81,2277
1960,Congo,Sub-Saharan Africa,5.88,1430
1960,Costa Rica,Latin America & Caribbean,6.45,2906
1960,C?te d'Ivoire,Sub-Saharan Africa,7.69,1205
1960,Dem. Rep. Congo,Sub-Saharan Africa,6,1039
1960,Denmark,Europe & Central Asia,2.57,21076
1960,Dominican Republic,Latin America & Caribbean,7.56,1327
1960,Ecuador,Latin America & Caribbean,6.72,2237
1960,Egypt,Middle East & North Africa,6.72,571
1960,Fiji,East Asia & Pacific,6.46,1774
1960,Finland,Europe & Central Asia,2.72,12195
1960,France,Europe & Central Asia,2.85,12991
1960,Gabon,Sub-Saharan Africa,4.38,4377
1960,Ghana,Sub-Saharan Africa,6.75,1053
1960,Greece,Europe & Central Asia,2.23,6780
1960,Guatemala,Latin America & Caribbean,6.9,1462
1960,Guyana,Latin America & Caribbean,6.37,1699
1960,Haiti,Latin America & Caribbean,6.32,1018
1960,Honduras,Latin America & Caribbean,7.46,1096
1960,India,South Asia,5.91,331
1960,Indonesia,East Asia & Pacific,5.67,690
1960,Iran,Middle East & North Africa,6.93,2981
1960,Israel,Middle East & North Africa,3.87,8749
1960,Italy,Europe & Central Asia,2.37,10868
1960,Japan,East Asia & Pacific,2,8608
1960,Kenya,Sub-Saharan Africa,7.95,538
1960,Korea,East Asia & Pacific,6.1,944
1960,Lesotho,Sub-Saharan Africa,5.84,255
1960,Luxembourg,Europe & Central Asia,2.29,27086
1960,Madagascar,Sub-Saharan Africa,7.3,716
1960,Malawi,Sub-Saharan Africa,6.94,241
1960,Malaysia,East Asia & Pacific,6.45,1354
1960,Mauritania,Sub-Saharan Africa,6.78,790
1960,Mexico,Latin America & Caribbean,6.77,3866
1960,Myanmar,East Asia & Pacific,6.05,159
1960,Nepal,South Asia,5.96,267
1960,Netherlands,Europe & Central Asia,3.12,16355
1960,Nicaragua,Latin America & Caribbean,7.34,1504
1960,Niger,Sub-Saharan Africa,7.45,612
1960,Nigeria,Sub-Saharan Africa,6.35,1368
1960,Norway,Europe & Central Asia,2.85,23184
1960,Pakistan,South Asia,6.6,305
1960,Panama,Latin America & Caribbean,5.87,2140
1960,Papua New Guinea,East Asia & Pacific,6.28,1136
1960,Paraguay,Latin America & Caribbean,6.5,1365
1960,Peru,Latin America & Caribbean,6.97,2684
1960,Philippines,East Asia & Pacific,7.15,1059
1960,Portugal,Europe & Central Asia,3.16,4506
1960,Puerto Rico,Latin America & Caribbean,4.66,5832
1960,Rwanda,Sub-Saharan Africa,8.19,332
1960,Senegal,Sub-Saharan Africa,7,1360
1960,Sierra Leone,Sub-Saharan Africa,6.13,376
